ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
GLP,46.94,60.0,39.58,2026-02-09,2026-02-13,2026-02-09,0.76,USD,NYQ
GLU,20.79,20.88,14.07,2026-02-12,2019-03-22,2026-01-15,0.11,USD,ASE
GNT,8.505,8.79,5.02,2026-02-12,2019-03-22,2026-01-15,0.06,USD,NYQ
GROW,3.1118,3.65,2.02,2026-03-16,2026-03-30,2026-02-09,0.008,USD,NCM
GUT,6.095,6.2,4.71,2026-02-12,2019-03-22,2026-01-15,0.05,USD,NYQ
GWW,1184.18,1204.36,893.99,2026-02-09,2026-03-01,2026-02-09,2.26,USD,NYQ
HAFC,27.34,30.2,19.25,2026-02-09,2026-02-25,2026-02-09,0.28,USD,NMS
HBCP,61.62,64.17,39.59,2026-02-09,2026-02-20,2026-02-09,0.31,USD,NMS
HBT,28.555,29.88,19.46,2026-02-09,2026-02-17,2026-02-09,0.23,USD,NMS
HIW,26.09,32.76,24.19,2026-02-17,2026-03-10,2025-11-17,0.5,USD,NYQ
HOMB,30.14,31.24,24.22,2026-02-11,2026-03-04,2025-11-12,0.21,USD,NYQ
HPF,16.2,17.58,14.56,2026-02-12,2019-02-28,2026-01-12,0.124,USD,NYQ
HPI,16.235,17.78,14.61,2026-02-12,2019-02-28,2025-12-29,0.124,USD,NYQ
HPS,14.8,15.68,13.08,2026-02-12,2019-02-28,2026-01-12,0.11,USD,NYQ
HRZN,6.56,9.99,5.71,2026-02-17,2026-03-13,2026-01-16,0.11,USD,NMS
HSY,229.15,234.87,150.04,2026-02-17,2026-03-16,2025-11-17,1.37,USD,NYQ
HTD,25.05,25.21,20.31,2026-02-12,2019-02-28,2026-01-12,0.158,USD,NYQ
HTO,52.29,57.17,43.75,2026-02-09,2026-03-02,2026-02-09,0.44,USD,NMS
HXL,87.08,88.0,45.28,2026-02-09,2026-02-17,2026-02-09,0.18,USD,NYQ
IIM,12.62,12.77,10.96,2026-02-17,2019-02-28,2026-01-15,0.077,USD,NYQ
IQI,10.185,10.19,8.86,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
ISD,14.68,14.73,11.82,2026-02-12,2019-02-28,2025-12-26,0.105,USD,NYQ
JEF,60.025,72.92,39.28,2026-02-17,2026-02-27,2025-11-17,0.4,USD,NYQ
JMSB,21.0,21.58,13.81,2026-02-11,2026-03-04,2025-06-27,0.3,USD,NCM
KINS,16.285,22.4,13.08,2026-02-11,2026-02-26,2025-11-10,0.05,USD,NCM
KMPR,32.43,69.83,30.05,2026-02-17,2026-03-03,2025-11-17,0.32,USD,NYQ
