"Date","Price","Open","High","Low","Vol.","Change %"
"2009-10-21","1,081.40","1,090.40","1,101.40","1,080.80","","-0.89%"
"2009-10-20","1,091.10","1,098.60","1,098.60","1,086.20","","-0.62%"
"2009-10-19","1,097.90","1,088.20","1,100.20","1,086.50","","0.94%"
"2009-10-16","1,087.70","1,094.70","1,094.70","1,081.50","","-0.81%"
"2009-10-15","1,096.60","1,090.40","1,096.60","1,086.40","","0.42%"
"2009-10-14","1,092.00","1,078.70","1,093.20","1,078.70","","1.75%"
"2009-10-13","1,073.20","1,075.00","1,075.30","1,066.70","","-0.28%"
"2009-10-12","1,076.20","1,071.60","1,079.50","1,071.60","","0.44%"
"2009-10-09","1,071.50","1,065.30","1,071.50","1,063.00","","0.56%"
"2009-10-08","1,065.50","1,060.00","1,070.70","1,060.00","","0.75%"
"2009-10-07","1,057.60","1,053.70","1,058.00","1,050.10","","0.27%"
"2009-10-06","1,054.70","1,042.00","1,060.50","1,042.00","","1.36%"
"2009-10-05","1,040.50","1,026.90","1,042.60","1,025.90","","1.49%"
"2009-10-02","1,025.20","1,029.70","1,030.60","1,020.00","","-0.45%"
"2009-10-01","1,029.80","1,054.90","1,054.90","1,029.50","","-2.58%"
"2009-09-30","1,057.10","1,061.00","1,063.40","1,046.50","","-0.33%"
"2009-09-29","1,060.60","1,063.70","1,069.60","1,057.80","","-0.23%"
"2009-09-28","1,063.00","1,045.40","1,065.10","1,045.40","","1.78%"
"2009-09-25","1,044.40","1,049.50","1,053.50","1,041.20","","-0.61%"
"2009-09-24","1,050.80","1,062.60","1,066.30","1,045.80","","-0.95%"
"2009-09-23","1,060.90","1,072.70","1,080.20","1,060.40","","-1.01%"
"2009-09-22","1,071.70","1,066.30","1,073.80","1,066.30","","0.66%"
"2009-09-21","1,064.70","1,067.10","1,067.30","1,057.50","","-0.34%"
"2009-09-18","1,068.30","1,066.60","1,071.50","1,064.30","","0.26%"
"2009-09-17","1,065.50","1,067.90","1,074.80","1,061.20","","-0.31%"
"2009-09-16","1,068.80","1,054.00","1,068.80","1,052.90","","1.54%"
"2009-09-15","1,052.60","1,049.00","1,056.00","1,043.40","","0.31%"
"2009-09-14","1,049.30","1,040.20","1,049.70","1,035.00","","0.63%"
