Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/11  07:00:00,1007.292111,101.2470396,507.1621654,0,54.02587722,184.3865456,290.7865531,239.639694,42.48502471,8.661834378
 06/11  08:00:00,1075.31355,101.2470396,501.5967803,0,65.15725541,220.0431645,286.9295915,221.6026458,56.64669961,8.680246119
 06/11  09:00:00,1062.875815,101.2470396,490.913214,0,65.15725541,212.5458892,271.7289611,211.8617468,42.48502471,17.38218961
 06/11  10:00:00,1069.920196,101.2470396,480.4574852,0,65.15725541,220.0431645,280.1392851,200.6089988,70.80837451,8.721911819
 06/11  11:00:00,1068.914227,101.2470396,472.6002955,0,65.15725541,220.0431645,276.6828211,188.4533092,70.80837451,17.4211374
 06/11  12:00:00,1065.020881,101.2470396,469.2554772,0,65.15725541,220.0431645,265.9363434,177.704957,70.80837451,17.42301194
 06/11  13:00:00,1056.741245,101.2596983,465.8826042,0,65.15725541,212.5458892,233.1911069,167.8242012,56.64669961,8.720206077
 06/11  14:00:00,1065.644762,101.3475857,459.1283869,0,65.15725541,212.5458892,209.4008636,149.492714,42.48502471,17.42312483
 06/11  15:00:00,1069.092346,101.5307412,452.625844,0,65.15725541,212.5458892,203.5477425,129.4786835,56.64669961,17.42235944
 06/11  16:00:00,1027.506869,101.9720968,449.9638508,0,65.15725541,220.0431645,216.6865676,114.2950366,84.97004941,17.42148161
 06/11  17:00:00,980.1490359,102.310641,447.0566189,0,54.02587722,184.3865456,204.1672681,110.4963264,84.97004941,8.700892318
 06/11  18:00:00,957.7998064,102.5715971,445.816963,0,44.49376632,163.4543149,216.1895441,122.5579457,84.97004941,8.661548992
 06/11  19:00:00,947.0551872,102.5556736,445.0601089,0,44.49376632,155.9570395,179.8867223,114.5792606,56.64669961,8.660762045
 06/11  20:00:00,922.818221,102.1043001,442.598159,0,44.49376632,124.5586935,220.0492203,154.7410855,56.64669961,8.661435219
 06/11  21:00:00,917.5931811,101.831859,442.398851,0,44.49376632,124.5586935,243.3334131,192.1877316,42.48502471,8.660656722
